modality,signal,condition_factor,condition_level,participant_id,loo_r,loo_fisher_z
et,pupil_isc,adaptation,fully_adapted,sphynx_6,0.5067946754820278,0.5584071875303503
et,pupil_isc,adaptation,fully_adapted,sphynx_5_1,0.6460583747156371,0.7685034229944505
et,pupil_isc,adaptation,fully_adapted,sphynx_7,0.7843662233710466,1.056618542033551
et,pupil_isc,adaptation,fully_adapted,sphynx_10,0.7355635771680852,0.9407433064671414
et,pupil_isc,adaptation,fully_adapted,sphynx_4,0.7474286406831744,0.9671034091208645
et,pupil_isc,adaptation,fully_adapted,sphynx_11,0.507171493093492,0.5589143662359662
et,pupil_isc,adaptation,fully_adapted,sphynx_8,0.43294788521325134,0.463518923423795
et,pupil_isc,adaptation,fully_adapted,sphynx_9,0.5511598416166488,0.620045692666227
et,pupil_isc,adaptation,fully_adapted,sphynx_2,0.4820742440901222,0.525682999100164
et,pupil_isc,graph_nodes,6,sphynx_12,0.6748526772411491,0.819601053044341
et,pupil_isc,graph_nodes,6,sphynx_13,0.5171003432389546,0.5723736204541765
et,pupil_isc,graph_nodes,6,sphynx_3,0.6027358132917431,0.6974329071386003
et,pupil_isc,graph_nodes,6,trial_1_3,0.6642882025896288,0.8004498794846661
et,pupil_isc,graph_nodes,6,sphynx_6,0.46087884196284346,0.4984265757528732
et,pupil_isc,graph_nodes,6,sphynx_5_1,0.737132405332708,0.9441702633506401
et,pupil_isc,graph_nodes,6,sphynx_7,0.8747973633984333,1.3531611710739238
et,pupil_isc,graph_nodes,6,sphynx_10,0.7712178474838245,1.0233261933350795
et,pupil_isc,graph_nodes,6,sphynx_4,0.7931348079575108,1.0798266607682343
et,pupil_isc,graph_nodes,6,sphynx_11,0.6441789914087913,0.7652843128426093
et,pupil_isc,graph_nodes,6,sphynx_8,0.28613401886982576,0.29435043494236823
et,pupil_isc,graph_nodes,6,sphynx_9,0.515377419558485,0.5700247027003021
et,pupil_isc,graph_nodes,6,sphynx_2,0.7326634649215211,0.9344533914653816
et,pupil_isc,graph_nodes,12,sphynx_12,0.4818507398074882,0.5253918687807303
et,pupil_isc,graph_nodes,12,sphynx_13,0.38721129783743513,0.40851528425097666
et,pupil_isc,graph_nodes,12,sphynx_3,0.8627440334613419,1.3039792074273464
et,pupil_isc,graph_nodes,12,trial_1_3,0.8041258186877186,1.110179460725251
et,pupil_isc,graph_nodes,12,sphynx_6,0.29845134077062774,0.30781864765112543
et,pupil_isc,graph_nodes,12,sphynx_5_1,0.7679041099697465,1.0151996999574335
et,pupil_isc,graph_nodes,12,sphynx_7,0.6344700516254446,0.7488628447070593
et,pupil_isc,graph_nodes,12,sphynx_10,0.6950704935596858,0.8576994923010609
et,pupil_isc,graph_nodes,12,sphynx_4,0.717880537816664,0.9032579792576457
et,pupil_isc,graph_nodes,12,sphynx_11,0.3050926446454793,0.3151253871356558
et,pupil_isc,graph_nodes,12,sphynx_8,0.4492589451891289,0.4837714443855182
et,pupil_isc,graph_nodes,12,sphynx_9,0.7426893129891826,0.956450263781644
et,pupil_isc,graph_nodes,12,sphynx_2,0.4629656534568053,0.501079435724116
et,pupil_isc,question_level,2,sphynx_12,0.4951987828057587,0.5429248598042538
et,pupil_isc,question_level,2,sphynx_13,0.7154111325649561,0.8981812449771357
et,pupil_isc,question_level,2,sphynx_3,0.8219914522851822,1.162926908204394
et,pupil_isc,question_level,2,trial_1_3,0.7246854225006688,0.9174427934986756
et,pupil_isc,question_level,2,sphynx_6,0.2964296035885966,0.30560068435679605
et,pupil_isc,question_level,2,sphynx_5_1,0.6319557032918632,0.7446655450752745
et,pupil_isc,question_level,2,sphynx_7,0.7935492298184321,1.0809448813474785
et,pupil_isc,question_level,2,sphynx_10,0.7747814670124321,1.0321806942962652
et,pupil_isc,question_level,2,sphynx_4,0.6503449928654592,0.7758963285788764
et,pupil_isc,question_level,2,sphynx_11,0.4142845657492488,0.44077250520973377
et,pupil_isc,question_level,2,sphynx_8,0.4473746750626478,0.481413192648076
et,pupil_isc,question_level,2,sphynx_9,0.6884062461120073,0.8449200224106764
et,pupil_isc,question_level,2,sphynx_2,0.5594969636633805,0.6321006253838267
et,pupil_isc,question_level,1,sphynx_12,0.6282116085514173,0.738456333284108
et,pupil_isc,question_level,1,sphynx_13,-0.010923316486218027,-0.010923750969818864
et,pupil_isc,question_level,1,sphynx_3,0.6575587745510938,0.7885005713714354
et,pupil_isc,question_level,1,trial_1_3,0.694305993466902,0.8562219347986006
et,pupil_isc,question_level,1,sphynx_6,0.4505629273523284,0.4854063680116702
et,pupil_isc,question_level,1,sphynx_5_1,0.8450648348032515,1.238631478156616
et,pupil_isc,question_level,1,sphynx_7,0.8220055794429107,1.1629704677310706
et,pupil_isc,question_level,1,sphynx_10,0.6902209089536036,0.8483775404035963
et,pupil_isc,question_level,1,sphynx_4,0.8073304931162125,1.119314924193146
et,pupil_isc,question_level,1,sphynx_11,0.5675568679495432,0.6439113600521834
et,pupil_isc,question_level,1,sphynx_8,0.16660755921302353,0.1681753226885228
et,pupil_isc,question_level,1,sphynx_9,0.5841345193493747,0.6687158242264626
