participant,question_id,graph_nodes,question_level,has_answer_key_fully_adapted,has_answer_key_non_adapted,is_correct_fully_adapted,is_correct_non_adapted,responded_in_time_fully_adapted,responded_in_time_non_adapted,rt_fully_adapted,rt_non_adapted,pair_filter,scope
sphynx_2,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,12,2,True,True,True,True,True,True,11.756173100002343,14.206332799978554,graph_12,sphynx_2
sphynx_2,Count the number of MALWARE nodes with high connection counts (node size 7-10),12,2,True,True,True,True,True,True,8.111669400008395,14.910789199988358,graph_12,sphynx_2
sphynx_2,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,12,2,True,True,True,False,True,True,12.564198599983001,17.403364500001757,graph_12,sphynx_2
sphynx_2,Count the number of nodes with high connection counts (node size 7-10),12,1,True,True,True,True,True,True,9.672469500015723,10.13551200000802,graph_12,sphynx_2
sphynx_2,How many CYBER OBSERVABLE nodes are in the graph?,12,1,True,True,True,True,True,True,6.353227999992669,10.31703129998641,graph_12,sphynx_2
sphynx_2,How many low confidence (confidence 1-3) edges exist in the graph?,12,1,True,True,True,False,True,True,9.662194300006377,8.575209300004644,graph_12,sphynx_2
sphynx_2,How many nodes have TLP:GREEN?,12,1,True,True,True,True,True,True,6.884317599993665,10.408137699996587,graph_12,sphynx_2
sphynx_3,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,6,2,True,True,False,True,False,True,,10.802178800018737,all_graphs,sphynx_3
sphynx_3,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,12,2,True,True,True,False,True,True,9.071446300018806,13.86146129999537,all_graphs,sphynx_3
sphynx_3,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,6,2,True,True,False,True,False,True,,9.820272000011983,all_graphs,sphynx_3
sphynx_3,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,12,2,True,True,True,False,True,True,10.138962299999548,16.83228100000997,all_graphs,sphynx_3
sphynx_3,Count the number of MALWARE nodes with high connection counts (node size 7-10),6,2,True,True,False,False,False,False,,,all_graphs,sphynx_3
sphynx_3,Count the number of MALWARE nodes with high connection counts (node size 7-10),12,2,True,True,True,True,True,True,5.96718839998357,11.06344940001145,all_graphs,sphynx_3
sphynx_3,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,6,2,True,True,False,False,False,False,,,all_graphs,sphynx_3
sphynx_3,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,12,2,True,True,False,False,True,True,17.44004100002371,16.831037500000093,all_graphs,sphynx_3
sphynx_3,Count the number of nodes with high connection counts (node size 7-10),6,1,True,True,True,True,True,True,6.054087299998628,6.55726489998051,all_graphs,sphynx_3
sphynx_3,Count the number of nodes with high connection counts (node size 7-10),12,1,True,True,False,True,True,True,13.896428600012086,9.192540599993663,all_graphs,sphynx_3
sphynx_3,How many CYBER OBSERVABLE nodes are in the graph?,6,1,True,True,True,True,True,True,5.509191799996188,4.613682800002152,all_graphs,sphynx_3
sphynx_3,How many CYBER OBSERVABLE nodes are in the graph?,12,1,True,True,False,True,True,True,5.853715999983251,7.7227876000106335,all_graphs,sphynx_3
sphynx_3,How many low confidence (confidence 1-3) edges exist in the graph?,6,1,True,True,True,True,True,True,4.152979799982859,4.597176500014029,all_graphs,sphynx_3
sphynx_3,How many low confidence (confidence 1-3) edges exist in the graph?,12,1,True,True,True,True,True,True,4.938065099995583,12.94293999997899,all_graphs,sphynx_3
sphynx_3,How many nodes have TLP:GREEN?,6,1,True,True,True,True,True,True,5.576790999999503,9.712535099999513,all_graphs,sphynx_3
sphynx_3,How many nodes have TLP:GREEN?,12,1,True,True,True,False,True,False,3.658801300014602,,all_graphs,sphynx_3
sphynx_3,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,12,2,True,True,True,False,True,True,9.071446300018806,13.86146129999537,graph_12,sphynx_3
sphynx_3,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,12,2,True,True,True,False,True,True,10.138962299999548,16.83228100000997,graph_12,sphynx_3
sphynx_3,Count the number of MALWARE nodes with high connection counts (node size 7-10),12,2,True,True,True,True,True,True,5.96718839998357,11.06344940001145,graph_12,sphynx_3
sphynx_3,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,12,2,True,True,False,False,True,True,17.44004100002371,16.831037500000093,graph_12,sphynx_3
sphynx_3,Count the number of nodes with high connection counts (node size 7-10),12,1,True,True,False,True,True,True,13.896428600012086,9.192540599993663,graph_12,sphynx_3
sphynx_3,How many CYBER OBSERVABLE nodes are in the graph?,12,1,True,True,False,True,True,True,5.853715999983251,7.7227876000106335,graph_12,sphynx_3
sphynx_3,How many low confidence (confidence 1-3) edges exist in the graph?,12,1,True,True,True,True,True,True,4.938065099995583,12.94293999997899,graph_12,sphynx_3
sphynx_3,How many nodes have TLP:GREEN?,12,1,True,True,True,False,True,False,3.658801300014602,,graph_12,sphynx_3
sphynx_4,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,6,2,True,True,True,True,True,True,4.688712600000372,10.903302400001849,all_graphs,sphynx_4
sphynx_4,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,12,2,True,True,True,False,True,False,9.827862699999969,,all_graphs,sphynx_4
sphynx_4,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,6,2,True,True,True,True,True,True,6.124457300000415,14.675405900001579,all_graphs,sphynx_4
sphynx_4,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,12,2,True,True,False,False,True,False,10.184675600001128,,all_graphs,sphynx_4
sphynx_4,Count the number of MALWARE nodes with high connection counts (node size 7-10),6,2,True,True,True,False,True,True,3.456214899997576,9.27644349999899,all_graphs,sphynx_4
sphynx_4,Count the number of MALWARE nodes with high connection counts (node size 7-10),12,2,True,True,True,True,True,True,6.9273761000004015,15.366704299998673,all_graphs,sphynx_4
sphynx_4,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,6,2,True,True,False,False,True,False,10.402087599999504,,all_graphs,sphynx_4
sphynx_4,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,12,2,True,True,False,False,True,True,10.084616800002777,16.26341539999703,all_graphs,sphynx_4
sphynx_4,Count the number of nodes with high connection counts (node size 7-10),6,1,True,True,True,True,True,True,5.650981499998352,5.279748700002472,all_graphs,sphynx_4
sphynx_4,Count the number of nodes with high connection counts (node size 7-10),12,1,True,True,True,True,True,True,9.739832199997181,9.197192699997686,all_graphs,sphynx_4
sphynx_4,How many CYBER OBSERVABLE nodes are in the graph?,6,1,True,True,True,True,True,True,4.901255599997739,8.587897599998541,all_graphs,sphynx_4
sphynx_4,How many CYBER OBSERVABLE nodes are in the graph?,12,1,True,True,True,True,True,True,6.832855199998448,11.81676499999935,all_graphs,sphynx_4
sphynx_4,How many low confidence (confidence 1-3) edges exist in the graph?,6,1,True,True,True,True,True,True,2.739964399999735,6.000673499998584,all_graphs,sphynx_4
sphynx_4,How many low confidence (confidence 1-3) edges exist in the graph?,12,1,True,True,True,False,True,True,17.788640400001896,9.561472999997932,all_graphs,sphynx_4
sphynx_4,How many nodes have TLP:GREEN?,6,1,True,True,True,True,True,True,4.668639800001955,7.786333499999955,all_graphs,sphynx_4
sphynx_4,How many nodes have TLP:GREEN?,12,1,True,True,True,True,True,True,3.689983200001734,12.760873100000026,all_graphs,sphynx_4
sphynx_4,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,12,2,True,True,True,False,True,False,9.827862699999969,,graph_12,sphynx_4
sphynx_4,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,12,2,True,True,False,False,True,False,10.184675600001128,,graph_12,sphynx_4
sphynx_4,Count the number of MALWARE nodes with high connection counts (node size 7-10),12,2,True,True,True,True,True,True,6.9273761000004015,15.366704299998673,graph_12,sphynx_4
sphynx_4,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,12,2,True,True,False,False,True,True,10.084616800002777,16.26341539999703,graph_12,sphynx_4
sphynx_4,Count the number of nodes with high connection counts (node size 7-10),12,1,True,True,True,True,True,True,9.739832199997181,9.197192699997686,graph_12,sphynx_4
sphynx_4,How many CYBER OBSERVABLE nodes are in the graph?,12,1,True,True,True,True,True,True,6.832855199998448,11.81676499999935,graph_12,sphynx_4
sphynx_4,How many low confidence (confidence 1-3) edges exist in the graph?,12,1,True,True,True,False,True,True,17.788640400001896,9.561472999997932,graph_12,sphynx_4
