participant,adaptation,graph_nodes,question_level,n_trials,n_responded,response_rate,rt_mean_observed,rt_median_observed,rt_mean_analysis,rt_median_analysis
sphynx_8,non_adapted,12,1,4,4,1.0,7.906007925048485,8.079836450051545,7.906007925048485,8.079836450051545
sphynx_8,non_adapted,12,2,4,3,0.75,12.019056133343833,10.981886200024746,12.019056133343833,10.981886200024746
sphynx_8,semi_adapted,6,1,4,4,1.0,6.005961199960382,6.580309999990163,6.005961199960382,6.580309999990163
sphynx_8,semi_adapted,6,2,4,4,1.0,13.391895425011164,14.798402500047814,13.391895425011164,14.798402500047814
sphynx_8,semi_adapted,12,1,4,4,1.0,9.436317674990278,8.036058400000911,9.436317674990278,8.036058400000911
sphynx_8,semi_adapted,12,2,4,4,1.0,13.113795625045896,13.688441200065427,13.113795625045896,13.688441200065427
sphynx_9,fully_adapted,6,1,4,4,1.0,7.107223124971,5.836754999938421,7.107223124971,5.836754999938421
sphynx_9,fully_adapted,6,2,4,4,1.0,9.717577699950127,9.38546339998706,9.717577699950127,9.38546339998706
sphynx_9,fully_adapted,12,1,4,4,1.0,8.859475224977302,6.626719399995636,8.859475224977302,6.626719399995636
sphynx_9,fully_adapted,12,2,4,3,0.75,10.860295366650993,9.270975999999791,10.860295366650993,9.270975999999791
sphynx_9,non_adapted,6,1,4,4,1.0,9.376912099978526,8.601722099934562,9.376912099978526,8.601722099934562
sphynx_9,non_adapted,6,2,4,3,0.75,11.544324800022872,11.136211200035177,11.544324800022872,11.136211200035177
sphynx_9,non_adapted,12,1,4,4,1.0,10.497298224974713,10.665371899958814,10.497298224974713,10.665371899958814
sphynx_9,non_adapted,12,2,4,3,0.75,13.913501033326611,14.535071399994195,13.913501033326611,14.535071399994195
sphynx_9,semi_adapted,6,1,4,4,1.0,7.187092900014193,6.193658100033531,7.187092900014193,6.193658100033531
sphynx_9,semi_adapted,6,2,4,4,1.0,13.985852399957366,14.229474149935413,13.985852399957366,14.229474149935413
sphynx_9,semi_adapted,12,1,4,4,1.0,9.081253100011992,8.285032199986802,9.081253100011992,8.285032199986802
sphynx_9,semi_adapted,12,2,4,3,0.75,15.454849566643512,16.950345299905166,15.454849566643512,16.950345299905166
trial_1_3,fully_adapted,6,1,4,4,1.0,6.285600900009825,5.4447756499866955,6.285600900009825,5.4447756499866955
trial_1_3,fully_adapted,6,2,4,4,1.0,10.79526279997669,11.430500199960207,10.79526279997669,11.430500199960207
trial_1_3,fully_adapted,12,1,4,4,1.0,6.836406950023957,5.972288049990311,6.836406950023957,5.972288049990311
trial_1_3,fully_adapted,12,2,4,4,1.0,11.048014375031926,11.251965050061585,11.048014375031926,11.251965050061585
trial_1_3,non_adapted,6,1,4,4,1.0,4.825731999997473,4.564287249988439,4.825731999997473,4.564287249988439
trial_1_3,non_adapted,6,2,4,4,1.0,12.03596672500129,11.923197449999865,12.03596672500129,11.923197449999865
trial_1_3,non_adapted,12,1,4,4,1.0,8.849601300025938,8.961384100024816,8.849601300025938,8.961384100024816
trial_1_3,non_adapted,12,2,4,3,0.75,15.012502766679972,16.3933481000131,15.012502766679972,16.3933481000131
trial_1_3,semi_adapted,6,1,4,4,1.0,3.0827972749829513,2.690276150009595,3.0827972749829513,2.690276150009595
trial_1_3,semi_adapted,6,2,4,4,1.0,8.896872524986975,9.318949749984313,8.896872524986975,9.318949749984313
trial_1_3,semi_adapted,12,1,4,4,1.0,6.609858124982566,5.329662550007924,6.609858124982566,5.329662550007924
trial_1_3,semi_adapted,12,2,4,2,0.5,11.40571399999294,11.40571399999294,11.40571399999294,11.40571399999294
