kind,source,feature,outcome,n,spearman_r,p_raw,mean_feature_delta,mean_outcome_delta,p_fdr_outcome,sig_raw_0.05,sig_fdr_outcome
paired_non_minus_full,low_level,effectiveness,delta_accuracy,16,0.30439428040516997,0.25168207661652114,-5.018624999999946e-05,-0.08653846153846154,0.650178697926013,False,False
paired_non_minus_full,low_level,effectiveness,delta_response_rate,16,0.0354223634589376,0.8963799642035055,-5.018624999999946e-05,-0.08173076923076925,0.9683916249720633,False,False
paired_non_minus_full,low_level,effectiveness,delta_et_n_fixations,16,-0.23929333911952408,0.3720723728112521,-5.018624999999946e-05,-5.90625,0.6649368343724686,False,False
paired_non_minus_full,low_level,effectiveness,delta_et_mean_fix_dur,16,-0.0411764705882353,0.8796536149318311,-5.018624999999946e-05,0.07918801908214973,0.9739022165316701,False,False
paired_non_minus_full,low_level,effectiveness,delta_et_mean_saccade_mag,16,0.39999999999999997,0.12475042359840005,-5.018624999999946e-05,-2.1825431256641146,0.5982975602745494,False,False
paired_non_minus_full,sum,saliency_mean,delta_rt_median,16,0.014705882352941175,0.9568919240316421,-0.010217974311585732,2.87464056875812,0.9741279946623942,False,False
paired_non_minus_full,sum,saliency_mean,delta_accuracy,16,-0.4157580415290127,0.10923810491406513,-0.010217974311585732,-0.08653846153846154,0.650178697926013,False,False
paired_non_minus_full,sum,saliency_mean,delta_response_rate,16,0.05236349380886428,0.8472765781955588,-0.010217974311585732,-0.08173076923076925,0.9683916249720633,False,False
paired_non_minus_full,sum,saliency_mean,delta_et_n_fixations,16,-0.46972396197536204,0.06638567945956353,-0.010217974311585732,-5.90625,0.4564694502208965,False,False
paired_non_minus_full,sum,saliency_mean,delta_et_mean_fix_dur,16,0.4147058823529412,0.11022940391770165,-0.010217974311585732,0.07918801908214973,0.5195262340143642,False,False
paired_non_minus_full,sum,saliency_mean,delta_et_mean_saccade_mag,16,-0.8411764705882352,4.44290429431383e-05,-0.010217974311585732,-2.1825431256641146,0.0013773003312372873,True,True
paired_non_minus_full,sum,saliency_std,delta_rt_median,16,0.07941176470588236,0.7700253190398251,-0.011581886651099427,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,sum,saliency_std,delta_accuracy,16,-0.3236973323333027,0.22132055596052239,-0.011581886651099427,-0.08653846153846154,0.650178697926013,False,False
paired_non_minus_full,sum,saliency_std,delta_response_rate,16,0.10164678209956009,0.7079741635850924,-0.011581886651099427,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,sum,saliency_std,delta_et_n_fixations,16,-0.6056189446852153,0.012910024064800796,-0.011581886651099427,-5.90625,0.2737816632659274,True,False
paired_non_minus_full,sum,saliency_std,delta_et_mean_fix_dur,16,0.45,0.08029573654339643,-0.011581886651099427,0.07918801908214973,0.5195262340143642,False,False
paired_non_minus_full,sum,saliency_std,delta_et_mean_saccade_mag,16,-0.6588235294117648,0.005511422336343683,-0.011581886651099427,-2.1825431256641146,0.04271352310666354,True,True
paired_non_minus_full,sum,saliency_entropy,delta_rt_median,16,-0.22647058823529412,0.39898292664128926,-0.05169330126438376,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,sum,saliency_entropy,delta_accuracy,16,0.14403046438683653,0.5946037263779012,-0.05169330126438376,-0.08653846153846154,0.9526467211970105,False,False
paired_non_minus_full,sum,saliency_entropy,delta_response_rate,16,-0.1062670903768128,0.6952798785953141,-0.05169330126438376,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,sum,saliency_entropy,delta_et_n_fixations,16,0.42245614190236963,0.10307374682407341,-0.05169330126438376,-5.90625,0.4564694502208965,False,False
paired_non_minus_full,sum,saliency_entropy,delta_et_mean_fix_dur,16,-0.09117647058823529,0.7370049501736591,-0.05169330126438376,0.07918801908214973,0.9739022165316701,False,False
paired_non_minus_full,sum,saliency_entropy,delta_et_mean_saccade_mag,16,0.05294117647058824,0.8456104411493658,-0.05169330126438376,-2.1825431256641146,0.9039284026079428,False,False
paired_non_minus_full,sum,saliency_center_bias,delta_rt_median,16,-0.03529411764705882,0.8967532476935333,-0.014853296445666863,2.87464056875812,0.9741279946623942,False,False
paired_non_minus_full,sum,saliency_center_bias,delta_accuracy,16,0.12472741245870378,0.6453413272624909,-0.014853296445666863,-0.08653846153846154,0.9526467211970105,False,False
paired_non_minus_full,sum,saliency_center_bias,delta_response_rate,16,-0.19559305040369893,0.4678596715999156,-0.014853296445666863,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,sum,saliency_center_bias,delta_et_n_fixations,16,0.15805177336906837,0.558804353938683,-0.014853296445666863,-5.90625,0.7217889571707988,False,False
paired_non_minus_full,sum,saliency_center_bias,delta_et_mean_fix_dur,16,-0.17058823529411765,0.5276097688612683,-0.014853296445666863,0.07918801908214973,0.8177951417349659,False,False
paired_non_minus_full,sum,saliency_center_bias,delta_et_mean_saccade_mag,16,0.27941176470588236,0.2946176535684143,-0.014853296445666863,-2.1825431256641146,0.5982975602745494,False,False
paired_non_minus_full,sum,saliency_spread,delta_rt_median,16,-0.6235294117647059,0.009855650390922004,-0.4870946649044794,2.87464056875812,0.3055251621185821,True,False
paired_non_minus_full,sum,saliency_spread,delta_accuracy,16,0.3162730815917132,0.23270821433244054,-0.4870946649044794,-0.08653846153846154,0.650178697926013,False,False
paired_non_minus_full,sum,saliency_spread,delta_response_rate,16,0.40812723115732463,0.11657077935788976,-0.4870946649044794,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,sum,saliency_spread,delta_et_n_fixations,16,-0.06499325260036456,0.8109997469577847,-0.4870946649044794,-5.90625,0.8643037520968538,False,False
paired_non_minus_full,sum,saliency_spread,delta_et_mean_fix_dur,16,-0.3029411764705882,0.25406688060961136,-0.4870946649044794,0.07918801908214973,0.6064641786424004,False,False
paired_non_minus_full,sum,saliency_spread,delta_et_mean_saccade_mag,16,0.3058823529411765,0.24925429892891854,-0.4870946649044794,-2.1825431256641146,0.5982975602745494,False,False
paired_non_minus_full,sum,saliency_skewness,delta_rt_median,16,-0.09999999999999999,0.7125163701282782,0.8093383374045686,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,sum,saliency_skewness,delta_accuracy,16,0.35190948515134285,0.1813239455146273,0.8093383374045686,-0.08653846153846154,0.650178697926013,False,False
paired_non_minus_full,sum,saliency_skewness,delta_response_rate,16,-0.09856657658139159,0.7164774768486815,0.8093383374045686,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,sum,saliency_skewness,delta_et_n_fixations,16,0.344168814906476,0.19178519783118209,0.8093383374045686,-5.90625,0.5520238944808616,False,False
